timestamp,x,angle,x_target,phi_target,pwm_x,pwm_phi,,,,theta1,theta2
0.059,0,-0.066,1.6,20,0,0,,,,-0.0032,-0.0032
0.112,0,-0.066,1.6,20,0,3,,,,-0.0032,-0.0032
0.173,0,-0.066,1.6,20,0,3,,,,-0.0026,-0.0038
0.24,0,-0.066,1.6,20,1,4,,,,-0.0022,-0.0036
0.272,0,-0.066,1.6,20,2,5,,,,-0.0026,-0.0073
0.302,0,-0.066,1.6,20,3,6,,,,-0.0022,-0.0088
0.341,0,-0.071,1.6,20,3,7,,,,-0.002,-0.0098
0.397,0,-0.071,1.6,20,5,8,,,,-0.0018,-0.0104
0.458,0,-0.071,1.6,20,6,10,,,,-0.0017,-0.0113
0.508,0,-0.071,1.6,20,9,13,,,,-0.0017,-0.0113
0.562,0,-0.071,1.6,20,11,15,,,,-0.0016,-0.0112
0.618,0,-0.071,1.6,20,14,19,,,,-0.001,-0.0087
0.671,0,-0.077,1.6,20,17,22,,,,-0.0012,-0.0097
0.702,0,-0.077,1.6,20,21,27,,,,-0.0007,-0.0077
0.741,0,-0.077,1.6,20,23,29,,,,-0.0004,-0.0059
0.804,0,-0.077,1.6,20,26,32,,,,-0.0003,-0.0042
0.867,0,-0.077,1.6,20,30,38,,,,-0.0008,-0.0025
0.927,0,-0.077,1.6,20,36,44,,,,-0.0011,-0.0015
0.967,0,-0.077,1.6,20,41,50,,,,-0.0013,-0.0009
1.018,0,-0.077,1.6,20,45,54,,,,-0.0014,0.0001
1.075,0,-0.077,1.6,20,50,60,,,,-0.0021,0.0007
1.115,0,-0.077,1.6,20,56,67,,,,-0.0026,0.0011
1.149,0,-0.077,1.6,20,61,72,,,,-0.0028,0.0013
1.213,0,-0.077,1.6,20,64,76,,,,-0.003,0.0008
1.263,0,-0.077,1.6,20,73,86,,,,-0.0031,0.0005
1.295,0,-0.077,1.6,20,79,94,,,,-0.0031,-0.0004
1.329,0,-0.077,1.6,20,83,98,,,,-0.0032,-0.0002
1.362,0,-0.077,1.6,20,87,100,,,,-0.0032,-0.0014
1.425,0,-0.077,1.6,20,93,100,,,,-0.0032,-0.0028
1.485,0,-0.077,1.6,20,100,100,,,,-0.0032,-0.0061
1.535,0,-0.077,1.6,20,100,100,,,,-0.0019,-0.0056
1.584,0,-0.077,1.6,20,100,100,,,,-0.0018,-0.0085
1.643,0,-0.077,1.6,20,100,100,,,,-0.0017,-0.0102
1.704,0,-0.077,1.6,20,100,100,,,,-0.0017,-0.0106
1.764,0,-0.077,1.6,20,100,100,,,,-0.001,-0.0108
1.794,0,-0.077,1.6,20,100,100,,,,-0.0006,-0.0116
1.833,0,-0.077,1.6,20,100,100,,,,-0.0004,-0.0121
1.895,0,-0.077,1.6,20,100,100,,,,-0.0009,-0.0079
1.956,0,0.016,1.6,20,100,100,,,,-0.0018,-0.0092
2.016,0,0.016,1.6,20,100,100,,,,-0.0049,-0.0113
2.059,0.13,0.016,1.6,20,100,100,,,,-0.0036,-0.0132
2.111,0.13,0.016,1.6,20,100,100,,,,-0.0041,-0.0169
2.168,0.13,0.016,1.6,20,100,100,,,,-0.0044,-0.0191
2.231,0.13,0.016,1.6,20,100,100,,,,-0.0045,-0.0204
2.281,0.13,1.252,1.6,20,100,100,,,,-0.0046,-0.0212
2.326,0.275,1.252,1.6,20,100,100,,,,-0.0066,-0.0236
2.353,0.275,1.252,1.6,20,100,100,,,,-0.0078,-0.025
2.385,0.275,1.252,1.6,20,100,100,,,,-0.0085,-0.0259
2.423,0.275,1.252,1.6,20,100,100,,,,-0.009,-0.0264
2.495,0.275,1.252,1.6,20,100,100,,,,-0.0099,-0.0216
2.547,0.275,1.252,1.6,20,100,100,,,,-0.0104,-0.0187
2.614,0.275,2.422,1.6,20,100,100,,,,-0.0062,-0.017
2.673,0.42,2.422,1.6,20,100,100,,,,-0.0037,-0.0102
2.737,0.42,2.422,1.6,20,100,100,,,,-0.0016,-0.0042
2.793,0.42,2.422,1.6,20,100,100,,,,-0.0022,0.0026
2.828,0.42,2.422,1.6,20,100,100,,,,-0.0026,0.0092
2.872,0.42,2.422,1.6,20,100,100,,,,-0.0009,0.0164
2.935,0.42,3.406,1.6,20,100,100,,,,0.0007,0.0207
2.988,0.53,3.406,1.6,20,100,100,,,,0.0011,0.0233
3.047,0.53,3.406,1.6,20,100,100,,,,0.0006,0.0255
3.117,0.53,3.406,1.6,20,100,100,,,,0.0004,0.0268
3.182,0.53,3.406,1.6,20,100,100,,,,0.0002,0.018
3.24,0.53,4.768,1.6,20,100,100,,,,0.0001,0.0127
3.307,0.53,4.768,1.6,20,100,100,,,,0.0001,0.0096
3.356,0.655,4.768,1.6,20,100,100,,,,-0.0057,-0.0026
3.391,0.655,4.768,1.6,20,100,100,,,,-0.0073,-0.0105
3.462,0.655,4.768,1.6,20,100,100,,,,-0.0069,-0.0172
3.517,0.655,4.768,1.6,20,100,100,,,,-0.0067,-0.0212
3.595,0.655,5.597,1.6,20,100,100,,,,-0.0053,-0.0242
3.641,0.655,5.597,1.6,20,100,100,,,,-0.0032,-0.0261
3.672,0.8125,5.597,1.6,20,100,100,,,,-0.0019,-0.0271
3.703,0.8125,5.597,1.6,20,99,100,,,,-0.0011,-0.0278
3.735,0.8125,5.597,1.6,20,100,100,,,,-0.0007,-0.0282
3.767,0.8125,5.597,1.6,20,100,100,,,,-0.0004,-0.0284
3.801,0.8125,5.597,1.6,20,100,100,,,,-0.0015,-0.0254
3.836,0.8125,5.597,1.6,20,100,100,,,,-0.0035,-0.0229
3.895,0.8125,5.597,1.6,20,100,100,,,,-0.0046,-0.0214
3.935,0.8125,6.334,1.6,20,100,100,,,,-0.0156,-0.0205
4,0.9675,6.334,1.6,20,100,100,,,,-0.0221,-0.02
4.067,0.9675,6.334,1.6,20,80,100,,,,-0.0171,-0.0133
4.117,0.9675,6.334,1.6,20,92,100,,,,-0.0135,-0.0073
4.151,0.9675,6.334,1.6,20,100,100,,,,-0.0081,0.0001
4.218,0.9675,6.334,1.6,20,100,100,,,,-0.0042,0.0026
4.288,0.9675,7.751,1.6,20,100,100,,,,-0.007,0.0022
4.345,1.1225,7.751,1.6,20,100,100,,,,-0.0093,0.0026
4.403,1.1225,7.751,1.6,20,67,100,,,,-0.0107,0.0028
4.468,1.1225,7.751,1.6,20,77,100,,,,-0.0096,-0.0028
4.516,1.1225,7.751,1.6,20,86,100,,,,-0.0096,-0.0074
4.551,1.1225,7.751,1.6,20,94,100,,,,-0.009,-0.0109
4.583,1.1225,8.811,1.6,20,100,100,,,,-0.0086,-0.0129
4.652,1.2675,8.811,1.6,20,100,100,,,,-0.0083,-0.0141
4.716,1.2675,8.811,1.6,20,51,100,,,,-0.0056,-0.013
4.782,1.2675,8.811,1.6,20,60,100,,,,-0.0117,-0.018
4.842,1.2675,8.811,1.6,20,70,100,,,,-0.0121,-0.0198
4.905,1.2675,9.756,1.6,20,77,100,,,,-0.0124,-0.0208
4.968,1.43,9.756,1.6,20,85,100,,,,-0.0132,-0.0208
5.114,1.43,9.756,1.6,20,19,100,,,,-0.0175,-0.0214
5.148,1.43,9.756,1.6,20,35,100,,,,-0.0207,-0.0186
5.209,1.43,9.756,1.6,20,38,100,,,,-0.022,-0.0163
5.265,1.43,10.64,1.6,20,44,100,,,,-0.0209,-0.0155
5.327,1.5475,10.64,1.6,20,49,100,,,,-0.0157,-0.0106
5.363,1.5475,10.64,1.6,20,1,100,,,,-0.012,-0.007
5.398,1.5475,10.64,1.6,20,4,100,,,,-0.0098,-0.0048
5.435,1.5475,10.64,1.6,20,6,100,,,,-0.0084,-0.0061
5.505,1.5475,10.64,1.6,20,9,100,,,,-0.0083,-0.0075
5.565,1.5475,11.508,1.6,20,13,100,,,,-0.0082,-0.009
5.627,1.5475,11.508,1.6,20,17,100,,,,-0.0081,-0.0111
5.694,1.5475,11.508,1.6,20,19,100,,,,-0.0093,-0.015
5.746,1.5475,11.508,1.6,20,22,100,,,,-0.0094,-0.0167
5.807,1.5475,11.508,1.6,20,24,100,,,,-0.0095,-0.0164
5.871,1.5475,11.508,1.6,20,26,100,,,,-0.0089,-0.0175
5.938,1.5475,12.524,1.6,20,28,100,,,,-0.0085,-0.0182
5.996,1.5475,12.524,1.6,20,28,100,,,,-0.009,-0.0192
6.059,1.5475,12.524,1.6,20,29,100,,,,-0.0099,-0.0199
6.133,1.5475,12.524,1.6,20,29,100,,,,-0.0117,-0.019
6.188,1.5475,12.524,1.6,20,29,100,,,,-0.0153,-0.0191
6.243,1.5475,13.623,1.6,20,29,100,,,,-0.0182,-0.0191
6.309,1.5475,13.623,1.6,20,29,100,,,,-0.0211,-0.0159
6.367,1.5475,13.623,1.6,20,29,100,,,,-0.0229,-0.0147
6.43,1.5475,13.623,1.6,20,29,100,,,,-0.0233,-0.0075
6.495,1.5475,13.623,1.6,20,29,100,,,,-0.0236,-0.0026
6.558,1.5475,14.485,1.6,20,29,100,,,,-0.0199,-0.0003
6.629,1.5475,14.485,1.6,20,29,100,,,,-0.0177,0.0011
6.692,1.5475,14.485,1.6,20,29,100,,,,-0.017,-0.0045
6.751,1.5475,14.485,1.6,20,29,100,,,,-0.0147,-0.0084
6.824,1.5475,14.485,1.6,20,29,100,,,,-0.0127,-0.0102
6.868,1.5475,15.353,1.6,20,29,100,,,,-0.0114,-0.0112
6.936,1.5475,15.353,1.6,20,29,100,,,,-0.0107,-0.0119
7.002,1.5475,15.353,1.6,20,29,100,,,,-0.0064,-0.0071
7.062,1.5475,15.353,1.6,20,29,100,,,,-0.0032,-0.0043
7.127,1.5475,15.353,1.6,20,29,100,,,,-0.0032,-0.007
7.188,1.5475,16.199,1.6,20,30,100,,,,-0.0045,-0.0119
7.249,1.5475,16.199,1.6,20,30,100,,,,-0.0065,-0.0161
7.313,1.5475,16.199,1.6,20,30,100,,,,-0.0078,-0.0199
7.374,1.5475,16.199,1.6,20,30,100,,,,-0.0091,-0.0222
7.435,1.5475,16.199,1.6,20,30,100,,,,-0.0125,-0.0267
7.5,1.5475,16.199,1.6,20,30,100,,,,-0.0152,-0.0231
7.563,1.5475,17.259,1.6,20,30,100,,,,-0.0168,-0.0209
