time (s),reference_position (m),actual_position (m)
0.1507537688442211,0.5999994962426269,0.5999999426418021
0.3015075376884422,0.5999960003640225,0.5999994706445947
0.4522613065326633,0.599986603490947,0.5999978013579221
0.6030150753768844,0.599968486727205,0.6001635677893868
0.7537688442211055,0.5999389202308033,0.5999852884067427
0.9045226130653266,0.5998952622911098,0.5999703683812949
1.0552763819095476,0.599834958406012,0.6029794546835118
1.2060301507537687,0.5997555403590757,0.5999093394284871
1.3567839195979898,0.5996546252967032,0.599856428438695
1.507537688442211,0.599529914805292,0.5997835313170466
1.658291457286432,0.5993791939883933,0.599686608089546
1.809045226130653,0.5992003305438703,0.5995615431152411
1.9597989949748742,0.5989912738410575,0.5994042492090662
2.1105527638190953,0.5987500539979181,0.5992107674607344
2.2613065326633164,0.5984747809582033,0.5989773584530608
2.4120603015075375,0.5981636435686104,0.598700581246022
2.5628140703517586,0.597814908655942,0.5983773572785348
2.7135678391959797,0.5974269201042635,0.5980050172049202
2.8643216080402008,0.5969980979320625,0.5959447776143312
3.015075376884422,0.596526937369407,0.5971045112231703
3.165829145728643,0.5960120079351037,0.5965732198504848
3.316582914572864,0.595451952513857,0.5959865304953293
3.467336683417085,0.5948454864334272,0.5953438976732673
3.618090452261306,0.5941913965417887,0.5946451059310264
3.7688442211055273,0.5934885402842895,0.5938902116984536
3.9195979899497484,0.5927358447808088,0.593079479594368
4.0703517587939695,0.5919323059029159,0.5922133163859244
4.221105527638191,0.5910769873510286,0.5912922057044067
4.371859296482412,0.5901690197315721,0.5903166463890565
4.522613065326633,0.5892075996341369,0.5892870969836546
4.673366834170854,0.5881919887086378,0.588203928471174
4.824120603015075,0.5871215127424722,0.5870673868257347
4.974874371859296,0.5859955607376786,0.5858775664154855
5.125628140703517,0.5848135839880955,0.584634394732192
5.276381909547738,0.5835750951565193,0.5833376283792922
5.427135678391959,0.5822796673518634,0.5813680855166261
5.57788944723618,0.5809269332063166,0.5805815333292853
5.7286432160804015,0.5795165839525009,0.5791209703537905
5.879396984924623,0.5780483685006315,0.5776043999303636
6.030150753768844,0.5765220925156735,0.5760309949559665
6.180904522613065,0.5749376174945025,0.5736357288576024
6.331658291457286,0.5732948598430607,0.5727103244045377
6.482412060301507,0.5715937899535176,0.570961473177674
6.633165829145728,0.5698344312814275,0.5691526898721229
6.783919597989949,0.568016859422888,0.567283434075764
6.93467336683417,0.5661412011916989,0.5653533178701199
7.085427135678391,0.5642076336965203,0.5633621252155344
7.236180904522612,0.5622163834180313,0.5613098244839678
7.3869346733668335,0.5601677252860886,0.5591965739641014
7.537688442211055,0.5580619817568854,0.5561337888365632
7.688442211055276,0.5558995218901087,0.5547887916734812
7.839195979899497,0.5536807604260994,0.5515194078020351
7.989949748743718,0.5514061568630095,0.5501436365544261
8.140703517587939,0.5490762145339614,0.5477342251963514
8.29145728643216,0.5466914796842063,0.5452683220270926
8.442211055276381,0.5442525405482822,0.5427470777636577
8.592964824120603,0.5417600264271735,0.5377854241508572
8.743718592964823,0.5392146067654682,0.5375434004142637
8.894472361809044,0.5366169902285174,0.5348634283838081
9.045226130653266,0.5339679237795936,0.5321329950872299
9.195979899497488,0.5312681917570488,0.5301821753716637
9.346733668341708,0.5285186149514736,0.5265254408953706
9.497487437185928,0.5257200496828555,0.5236505508050224
9.64824120603015,0.5228733868777372,0.52072964993104
9.798994974874372,0.5199795511463756,0.5177637187684262
9.949748743718592,0.5170394998598996,0.5147536882428488
10.100502512562812,0.5140542222274697,0.5117004476540592
10.251256281407034,0.5110247383734352,0.5086048553417803
10.402010050251256,0.5079520984144937,0.5054677513755519
10.552763819095476,0.5048373815368496,0.5022899715225532
10.703517587939697,0.5016816950733723,0.49907236173681624
10.854271356783919,0.4984861735807541,0.4958157924376214
11.00502512562814,0.49525197791667014,0.49252117190091865
11.15577889447236,0.491980294316936,0.4891894581707802
11.306532663316581,0.48867233347266636,0.48582166900267454
11.457286432160803,0.48532932960743347,0.48241888947062816
11.608040201005025,0.48195253955442585,0.47898227699967266
11.758793969849245,0.47854324183360686,0.47551306371691887
11.909547738693465,0.4751027357288729,0.47401591060650533
12.060301507537687,0.4716323403652123,0.46848213236493835
12.21105527638191,0.4681333937858633,0.4649232369366253
12.36180904522613,0.4646072520294738,0.4613373738408689
12.51256281407035,0.46105528820725794,0.4577260979133056
12.663316582914572,0.45747889158015637,0.45409100517313983
12.814070351758794,0.4538794666359942,0.45043372252686226
12.964824120603014,0.45025843216663897,0.44675589730998716
13.115577889447234,0.44661722034516,0.44305918710966913
13.266331658291456,0.4429572758029863,0.4393452502702004
13.417085427135678,0.4392800547070659,0.4356157374268909
13.567839195979898,0.4355870238370228,0.431872284345247
13.718592964824118,0.43187965966231756,0.428116506265572
13.86934673366834,0.42815944741940426,0.42434999387211825
14.020100502512562,0.42442788018888944,0.42057431092466
14.170854271356783,0.42068645797269105,0.4167909935125428
14.321608040201003,0.4169366867711964,0.4130015508201994
14.472361809045225,0.413180077660421,0.4092074672316084
14.623115577889447,0.4094181458691668,0.4054102055513839
14.773869346733667,0.4056524098561818,0.40161121108364733
14.924623115577887,0.40188439038731627,0.39781191628735435
15.07537688442211,0.3981156096126838,0.3940137457184618
15.226130653266331,0.39434759014381826,0.3902181209746937
15.376884422110551,0.39058185413083324,0.386426465376594
15.527638190954772,0.38681992233957907,0.38264020814742344
15.678391959798994,0.3830633132288035,0.3788607878922685
15.829145728643216,0.3793135420273088,0.3750896552211901
15.979899497487436,0.3755721198111104,0.37400712572361383
16.130653266331656,0.3718405525805958,0.3675781240420582
