time (s),rope_length (m)
0.0,0.6000095288162333
0.059,0.5999636312379304
0.118,0.5999428852421413
0.177,0.5999998385225361
0.236,0.5999690879429062
0.295,0.599937673111768
0.354,0.5998154308030911
0.413,0.5996831127951663
0.472,0.5995312449967427
0.5309999999999999,0.5992774615204756
0.59,0.5989848255368617
0.649,0.5986465190649704
0.708,0.5981587759632222
0.7669999999999999,0.5975909408342942
0.826,0.59691106837082
0.885,0.5961995236892798
0.944,0.5953142099893491
1.003,0.5943765802973566
1.0619999999999998,0.5932952838721466
1.121,0.5920552844483552
1.18,0.5906846694822518
1.2389999999999999,0.5892362256048049
1.298,0.5875778168872708
1.357,0.5858201416893842
1.416,0.5838519836402934
1.4749999999999999,0.5817295431839052
1.5339999999999998,0.5795357836648956
1.593,0.5771262782444168
1.652,0.5745636848829507
1.7109999999999999,0.5718352659494804
1.77,0.5689469525693879
1.829,0.5658908740569512
1.888,0.5627256777451286
1.9469999999999998,0.5593181817758015
2.006,0.5558345960066973
2.065,0.5522024637946953
2.1239999999999997,0.5483263187644531
2.183,0.5443855666263314
2.242,0.5402963450079685
2.3009999999999997,0.5359358207565977
2.36,0.5315778786845777
2.419,0.5270320327374419
2.4779999999999998,0.5223293425489886
2.537,0.5174962267201152
2.596,0.5124749375167907
2.655,0.5073810777712118
2.714,0.5021487585162618
2.7729999999999997,0.4967865433400354
2.832,0.4913702156195318
2.891,0.48581348933860624
2.9499999999999997,0.48018824172277097
3.009,0.4744773013800535
3.0679999999999996,0.46861857781562904
3.127,0.4627426772326851
3.186,0.4567150371461307
3.2449999999999997,0.45071717534308514
3.304,0.4445633579045014
3.363,0.4383944336365636
3.4219999999999997,0.4321633250714553
3.481,0.42596606792627295
3.54,0.4196399846516938
3.5989999999999998,0.41330926626527936
3.658,0.40697572313198366
3.7169999999999996,0.4005964063228065
3.776,0.39423729953295433
3.835,0.3879255424022531
3.8939999999999997,0.38157426755685214
3.953,0.37522479639373335
4.012,0.3689356822738546
4.071,0.3626271825610525
4.13,0.3563490805961123
4.189,0.3501792352943713
4.247999999999999,0.3439880627596371
4.3069999999999995,0.33790905386358927
4.366,0.3318308264464664
4.425,0.32592736405723305
4.484,0.3200567013991505
4.543,0.3142155135701364
4.601999999999999,0.3084620837512959
4.661,0.3028456909773562
4.72,0.29729145176393074
4.779,0.2918943138599516
4.838,0.2865908518962453
4.896999999999999,0.2814150318388592
4.9559999999999995,0.2764299494282226
5.015,0.2714558444919397
5.074,0.26663801992139274
5.133,0.2619974037894945
5.192,0.25744511249911145
5.2509999999999994,0.2531470068539367
5.31,0.2488923704078449
5.369,0.24482903199009165
5.428,0.2408718917056754
5.487,0.23709186857569828
5.545999999999999,0.23353206606680288
5.6049999999999995,0.23006251416460632
5.664,0.22679049358967188
5.723,0.22365505817081732
5.782,0.22067440116299505
5.840999999999999,0.21785857912599982
5.8999999999999995,0.21521485206136953
5.959,0.21271502548582127
6.018,0.21041865025623943
6.077,0.2082469705761078
6.135999999999999,0.20625701593957094
6.194999999999999,0.20438861795472668
6.254,0.20267857947348583
6.313,0.20112588049695715
6.372,0.19974776670382083
6.431,0.19847153333052914
6.489999999999999,0.19726929939717935
6.5489999999999995,0.1962799120888639
6.608,0.19532066777803941
6.667,0.19457690051456128
6.726,0.19392536060374846
6.784999999999999,0.19332584041757866
6.843999999999999,0.19279472694259575
6.903,0.1923150410479739
6.962,0.19195723389114125
7.021,0.19170191896810812
7.08,0.19143117200957518
7.138999999999999,0.1912149083252935
7.1979999999999995,0.19106091350531365
7.257,0.19097455921580775
7.316,0.19086723272940867
7.375,0.19079277494773314
7.433999999999999,0.1907487311001488
7.492999999999999,0.1906697488049831
7.552,0.19064757931897774
7.611,0.19065799119949112
7.67,0.19065651474003023
7.728999999999999,0.1906459654163712
7.787999999999999,0.19065381901732195
7.8469999999999995,0.19067606662046288
7.906,0.19068886927696851
7.965,0.1907437602870158
8.024,0.190746933886661
8.083,0.19080810128035197
8.142,0.19077559287552742
8.200999999999999,0.19082330330442995
8.26,0.19088296532584473
8.318999999999999,0.19089192885404976
8.378,0.19092200258366562
8.437,0.19100835916373907
8.495999999999999,0.1910254148795852
8.555,0.191044141175573
8.613999999999999,0.19111940993619106
8.673,0.19113939383466258
8.732,0.19116969237809733
8.791,0.19124613474737198
8.85,0.19133063362021896
8.908999999999999,0.19139298663717738
8.968,0.1914194425083427
9.027,0.1914800608835085
9.086,0.19156168794775272
9.145,0.1915355748995288
9.203999999999999,0.1915827705135012
9.263,0.1916743814843197
9.322,0.19174405182655416
9.381,0.19178469996677683
9.44,0.1918844711109889
9.498999999999999,0.19189192792962137
9.558,0.191940294741484
