timestamp,x,angle,x_target,phi_target,pwm_x,pwm_phi,Unnamed: 7,Unnamed: 8,Unnamed: 9,theta1,theta2
0.0,-0.017560579693124835,-0.003023659140720009,1.6,20,0,0,,,,0.0,0.0
0.053000000000000005,-0.010633364883803903,-0.0023235150544161152,1.6,20,0,3,,,,0.0,0.0
0.11399999999999999,-0.004813870049128604,-0.0017277907244005835,1.6,20,0,3,,,,0.0006000000000000003,-0.0005999999999999998
0.181,-3.2028409452598006e-05,-0.0012303537619261116,1.6,20,1,4,,,,0.001,-0.00039999999999999975
0.21300000000000002,0.003782226814870453,-0.0008250717782453981,1.6,20,2,5,,,,0.0006000000000000003,-0.0040999999999999995
0.243,0.00669896240348689,-0.00050581238461114,1.6,20,3,6,,,,0.001,-0.005600000000000001
0.28200000000000003,0.00878824513604307,-0.00026644319227603754,1.6,20,3,7,,,,0.0012000000000000001,-0.0066
0.338,0.010120141792185304,-0.00010083181249278674,1.6,20,5,8,,,,0.0014000000000000002,-0.0072
0.399,0.010764719151559961,-2.8458565140868054e-06,1.6,20,6,10,,,,0.0015000000000000002,-0.0081
0.449,0.010792043993813375,3.364706440736383e-05,1.6,20,9,13,,,,0.0015000000000000002,-0.0081
0.5030000000000001,0.010272183098591868,1.4779339018867551e-05,1.6,20,11,15,,,,0.0016,-0.008
0.5589999999999999,0.00927520324554181,-5.331664393227368e-05,1.6,20,14,19,,,,0.0022,-0.0055
0.6120000000000001,0.00787117121430952,-0.00016450849569875868,1.6,20,17,22,,,,0.002,-0.006500000000000001
0.643,0.006130153784541351,-0.0003126638275332847,1.6,20,21,27,,,,0.0025,-0.0045000000000000005
0.6819999999999999,0.004122217735883657,-0.0004916502506885513,1.6,20,23,29,,,,0.0028,-0.0026999999999999997
0.7450000000000001,0.0019174298479827294,-0.0006953353764172561,1.6,20,26,32,,,,0.0029000000000000002,-0.0009999999999999996
0.808,-0.00041414309951504275,-0.0009175868159720969,1.6,20,30,38,,,,0.0024000000000000002,0.0007000000000000001
0.8680000000000001,-0.0028024343269633274,-0.0011522721806057712,1.6,20,36,44,,,,0.0021000000000000003,0.0017000000000000001
0.9079999999999999,-0.0051773770547157835,-0.0013932590815709787,1.6,20,41,50,,,,0.0019000000000000002,0.0023
0.9590000000000001,-0.007468904503126087,-0.001634415130120414,1.6,20,45,54,,,,0.0018000000000000002,0.0033
1.016,-0.009606949892547898,-0.0018696079375067809,1.6,20,50,60,,,,0.0011000000000000003,0.0039000000000000003
1.056,-0.011521446443334839,-0.0020927051149827757,1.6,20,56,67,,,,0.0006000000000000003,0.0043
1.09,-0.013142327375840587,-0.002297574273801093,1.6,20,61,72,,,,0.0004000000000000002,0.0045000000000000005
1.1540000000000001,-0.014399525910418837,-0.002478083025214434,1.6,20,64,76,,,,0.0002000000000000001,0.004
1.204,-0.015222975267423196,-0.002628098980475496,1.6,20,73,86,,,,0.00010000000000000026,0.0037
1.236,-0.01554260866720531,-0.0027414897508366543,1.6,20,79,94,,,,0.00010000000000000026,0.0028
1.27,-0.012103527667048461,-0.0030528515680247853,1.6,20,83,98,,,,0.0,0.003
1.3030000000000002,-0.011618637152181272,-0.0031776795293771837,1.6,20,87,100,,,,0.0,0.0018000000000000002
1.366,-0.009326970340670565,-0.003124975773104646,1.6,20,93,100,,,,0.0,0.0004000000000000002
1.4260000000000002,-0.005326887056831341,-0.002903742437417966,1.6,20,100,100,,,,0.0,-0.0029000000000000002
1.476,0.0002832528750213832,-0.002522981660527939,1.6,20,100,100,,,,0.0013000000000000002,-0.0024
1.5250000000000001,0.007405089630572606,-0.001991695580645359,1.6,20,100,100,,,,0.0014000000000000002,-0.005300000000000001
1.584,0.015940263385507327,-0.0017401701222438098,1.6,20,100,100,,,,0.0015000000000000002,-0.007000000000000001
1.645,0.02276093172660832,-0.0012693749376439243,1.6,20,100,100,,,,0.0015000000000000002,-0.0074
1.705,0.03142935962448409,-0.0005918905873597427,1.6,20,100,100,,,,0.0022,-0.007600000000000001
1.735,0.0418214263484514,0.00027970236809469546,1.6,20,100,100,,,,0.0026000000000000003,-0.0084
1.774,0.05381301116782703,0.0013328233682053487,1.6,20,100,100,,,,0.0028,-0.0089
1.836,0.06727999335192776,0.001975356772157211,1.6,20,100,100,,,,0.0023,-0.004700000000000001
1.897,0.08209825217007038,0.002891886968743724,1.6,20,100,100,,,,0.0014000000000000002,-0.006
1.957,0.09470107304054642,0.004067436686698908,1.6,20,100,100,,,,-0.0016999999999999997,-0.0081
2.0,0.10912413613599482,0.005484475636781883,1.6,20,100,100,,,,-0.00039999999999999975,-0.01
2.052,0.12521404696849572,0.007125473529751779,1.6,20,100,100,,,,-0.0009000000000000002,-0.013699999999999999
2.109,0.14281741105012935,0.008972900076367717,1.6,20,100,100,,,,-0.0012000000000000001,-0.015899999999999997
2.1719999999999997,0.16178083389297584,0.010656483003857613,1.6,20,100,100,,,,-0.0012999999999999995,-0.0172
2.222,0.18195092100911536,0.012584921919747466,1.6,20,100,100,,,,-0.0013999999999999998,-0.018
2.267,0.19883660965833622,0.014737687028133726,1.6,20,100,100,,,,-0.0034,-0.020399999999999998
2.294,0.21752585449090464,0.01709424853311283,1.6,20,100,100,,,,-0.0046,-0.0218
2.3259999999999996,0.23782837608478255,0.019634076638781223,1.6,20,100,100,,,,-0.005300000000000001,-0.022699999999999998
2.364,0.259553895017932,0.02233664154923535,1.6,20,100,100,,,,-0.0058,-0.0232
2.436,0.2825121318683152,0.025181413468571653,1.6,20,100,100,,,,-0.006700000000000001,-0.0184
2.488,0.30651280721389396,0.028147862600886572,1.6,20,100,100,,,,-0.0072,-0.015500000000000002
2.5549999999999997,0.3313656416326304,0.031215459150276563,1.6,20,100,100,,,,-0.0029999999999999996,-0.013800000000000002
2.614,0.35688035570248655,0.0340500776129219,1.6,20,100,100,,,,-0.0005,-0.007000000000000001
2.678,0.37859785362615334,0.037010116339984384,1.6,20,100,100,,,,0.0016,-0.0009999999999999996
2.734,0.40148600910171195,0.040072378905391115,1.6,20,100,100,,,,0.001,0.0058
2.7689999999999997,0.42531824324815126,0.04321366888306916,1.6,20,100,100,,,,0.0006000000000000003,0.0124
2.8129999999999997,0.44986797718445987,0.04641078984694563,1.6,20,100,100,,,,0.0023,0.019600000000000003
2.876,0.4749086320296264,0.049640545370947614,1.6,20,100,100,,,,0.0039000000000000003,0.0239
2.929,0.5002136289026397,0.052276801283931355,1.6,20,100,100,,,,0.0043,0.026500000000000003
2.988,0.5212875725472166,0.055024910935117875,1.6,20,100,100,,,,0.0038,0.0287
3.058,0.5430620372024656,0.0578565508767925,1.6,20,100,100,,,,0.0036000000000000003,0.030000000000000002
3.1229999999999998,0.5652741445284021,0.06074339766124056,1.6,20,100,100,,,,0.0034000000000000002,0.0212
3.181,0.5876610161850411,0.06365712784074738,1.6,20,100,100,,,,0.0033,0.0159
3.2479999999999998,0.6099597738323979,0.0665694179675983,1.6,20,100,100,,,,0.0033,0.012799999999999999
3.2969999999999997,0.6319075391304878,0.06904906381238486,1.6,20,100,100,,,,-0.0025,0.0006000000000000003
3.332,0.6492480248721365,0.07157350506397157,1.6,20,100,100,,,,-0.0040999999999999995,-0.007300000000000001
3.403,0.6709003594121946,0.0741109194532411,1.6,20,100,100,,,,-0.0036999999999999997,-0.014
3.4579999999999997,0.6930178539547422,0.07662948471107606,1.6,20,100,100,,,,-0.0035,-0.018
3.536,0.7153341173089265,0.07909737856835913,1.6,20,100,100,,,,-0.0021,-0.020999999999999998
3.582,0.7375827582838942,0.0810806784249272,1.6,20,100,100,,,,0.0,-0.0229
3.613,0.7550220136824595,0.08367339409258401,1.6,20,100,100,,,,0.0013000000000000002,-0.023899999999999998
3.6439999999999997,0.7776525600943359,0.08631883450220533,1.6,20,99,100,,,,0.0021000000000000003,-0.024599999999999997
3.6759999999999997,0.8012104991354682,0.0889862302874951,1.6,20,100,100,,,,0.0025,-0.024999999999999998
3.7079999999999997,0.8254253412889899,0.09164481208215725,1.6,20,100,100,,,,0.0028,-0.0252
3.742,0.850026597038035,0.09388766587159468,1.6,20,100,100,,,,0.0017000000000000001,-0.022199999999999998
3.7769999999999997,0.8715077386457732,0.0961385304062084,1.6,20,100,100,,,,-0.0002999999999999999,-0.0197
3.836,0.8935084894444615,0.09836343781078831,1.6,20,100,100,,,,-0.0013999999999999998,-0.018199999999999997
3.876,0.9157308425854307,0.1011342083910802,1.6,20,100,100,,,,-0.0124,-0.0173
3.941,0.9427361178262604,0.10392326908739125,1.6,20,100,100,,,,-0.018813841071118068,-0.016630295126539258
4.008,0.9702668570094876,0.10670088534513282,1.6,20,80,100,,,,-0.013727682142236134,-0.009760590253078516
4.058,0.9980590108448375,0.10906798600934843,1.6,20,92,100,,,,-0.0100415232133542,-0.0035908853796177737
4.092,1.025848530042036,0.11144111825089419,1.6,20,100,100,,,,-0.004555364284472266,0.003978819493842968
4.159,1.053371365310809,0.11378740689783143,1.6,20,100,100,,,,-0.0005692053555903316,0.006648524367303709
4.229,1.0803634673608824,0.11658346017143596,1.6,20,100,100,,,,-0.003283046426708399,0.006418229240764453
4.286,1.1102471726032734,0.11938126828307594,1.6,20,100,100,,,,-0.005496887497826465,0.006987934114225194
4.343999999999999,1.1397547100651744,0.12215151639200227,1.6,20,67,100,,,,-0.0068107285689445315,0.007357638987685936
4.409,1.1686477913626787,0.124432578613717,1.6,20,77,100,,,,-0.005624569640062598,0.001927343861146678
