t,x,v,a,phi,phi_v,phi_a
0.0,0.0,0.0,0.0004439506172839507,0.0,0.0,0.005549382716049384
0.01,4.4395061728395075e-08,4.4395061728395074e-06,0.0008869135802469136,5.549382716049384e-07,5.549382716049384e-05,0.011086419753086421
0.02,2.217777777777778e-07,1.7738271604938273e-05,0.0017713580246913581,2.7722222222222227e-06,0.00022172839506172845,0.022141975308641974
0.03,6.204444444444444e-07,3.986666666666667e-05,0.00265283950617284,7.755555555555557e-06,0.0004983333333333334,0.033160493827160506
0.04,1.3283950617283952e-06,7.079506172839508e-05,0.003531358024691358,1.660493827160494e-05,0.0008849382716049386,0.04414197530864197
0.05,2.4333333333333335e-06,0.00011049382716049383,0.004406913580246913,3.041666666666667e-05,0.0013811728395061729,0.05508641975308641
0.06,4.022666666666667e-06,0.00015893333333333334,0.0052795061728395055,5.028333333333335e-05,0.001986666666666667,0.06599382716049383
0.07,6.183506172839507e-06,0.00021608395061728394,0.006149135802469139,7.729382716049383e-05,0.0027010493827160495,0.07686419753086425
0.08,9.002666666666668e-06,0.0002819160493827161,0.007015802469135802,0.00011253333333333336,0.003523950617283952,0.08769753086419756
0.09,1.2566666666666668e-05,0.0003564,0.007879506172839498,0.00015708333333333337,0.004455000000000001,0.09849382716049372
0.1,1.6961728395061727e-05,0.0004395061728395061,0.008740246913580246,0.00021202160493827166,0.005493827160493826,0.10925308641975304
0.11,2.227377777777778e-05,0.0005312049382716049,0.009598024691358033,0.0002784222222222223,0.006640061728395061,0.11997530864197546
0.12,2.858844444444445e-05,0.0006314666666666668,0.010452839506172845,0.0003573555555555556,0.007893333333333336,0.1306604938271606
0.13,3.599106172839507e-05,0.0007402617283950618,0.011304691358024688,0.00044988827160493837,0.009253271604938273,0.14130864197530857
0.14,4.456666666666668e-05,0.0008575604938271605,0.012153580246913572,0.0005570833333333335,0.010719506172839507,0.15191975308641953
0.15,5.4400000000000014e-05,0.0009833333333333332,0.012999506172839516,0.00068,0.012291666666666664,0.16249382716049393
