timestamp,x,angle,theta1,theta2,x_target,phi_target,pwm_x,pwm_phi
0.045,-0.2387935295066261,0.4033477680703022,-0.0012794117647058822,0.0011249999999999997,1.6,20.0,0,0
0.081,-0.23976683551988776,0.23253141207458947,-0.0027379280070237047,0.0011082089552238803,1.6,20.0,1,20
0.113,-0.24108633864769913,0.08810541719671533,-0.0026964442493415276,0.002546641791044776,1.6,20.0,4,80
0.146,-0.2426993718629204,-0.030808344424688994,-0.0012221246707638277,0.002507462686567164,1.6,20.0,6,100
0.182,-0.24455326813841174,-0.12508800065099218,-0.001203028972783143,0.0010578358208955222,1.6,20.0,10,100
0.215,-0.24659536044703334,-0.19561167934356277,-0.0011839332748024582,0.00242910447761194,1.6,20.0,12,100
0.251,-0.2487729817616453,-0.24325750836376975,0.00020083406496927144,0.002389925373134328,1.6,20.0,16,100
0.307,-0.2510334650551078,-0.26890361557298165,-0.0011457418788410887,0.003694029850746269,1.6,20.0,18,100
0.336,-0.2533241433002811,-0.27342812883256723,0.000194249341527656,0.003632462686567164,1.6,20.0,24,100
0.382,-0.25559234947002524,-0.25770917600389515,0.00019095697980684828,0.00357089552238806,1.6,20.0,26,100
0.438,-0.25778541653720044,-0.22262488494833427,0.0014637840210711152,0.006061567164179104,1.6,20.0,30,100
0.499,-0.2598506774746669,-0.16905338352725302,0.0014381035996488148,0.0059552238805970145,1.6,20.0,35,100
0.562,-0.2617354652552847,-0.0978727996020205,0.0014124231782265148,0.005848880597014925,1.6,20.0,40,100
0.625,-0.2633871128519141,-0.009961261034004631,0.00017778753292361734,0.0009067164179104475,1.6,20.0,45,100
0.681,-0.26475295323741516,0.09380310431542488,0.00017449517120280962,0.0008899253731343282,1.6,20.0,51,100
0.713,-0.2657803193846481,0.21254216858490005,-0.0021571553994732223,-0.003783582089552239,1.6,20.0,55,100
0.746,-0.2664165442664731,0.3453778039130518,-0.003257462686567164,-0.008277985074626865,1.6,20.0,58,100
0.779,-0.2666089608557503,0.4914318824385118,-0.003193590869183494,-0.009235074626865672,1.6,20.0,61,100
0.815,-0.2663049021253399,0.6498262762999105,-0.00203270412642669,-0.010147388059701494,1.6,20.0,63,100
0.875,-0.26545170104810206,0.8196828576358801,-0.001991220368744513,-0.009940298507462688,1.6,20.0,67,100
0.938,-0.2639966905968969,1.000123498585052,-0.0030019754170324845,-0.009733208955223883,1.6,20.0,71,100
1.0,-0.26188720374458463,1.190270071286056,-0.0029381035996488146,-0.013645522388059701,1.6,20.0,76,100
1.031,-0.25907057346402534,1.3892444478775252,-0.0028742317822651447,-0.013348880597014924,1.6,20.0,81,100
1.064,-0.2554941327280793,1.5961685004980906,-0.0037954345917471464,-0.011082089552238807,1.6,20.0,83,100
1.126,-0.2511052145096066,1.810164101286382,-0.0037091747146619845,-0.009867537313432836,1.6,20.0,86,100
1.177,-0.24585115178143874,2.030353122380791,-0.003622914837576822,-0.008697761194029853,1.6,20.0,91,100
1.24,-0.23586162766990848,2.2519844843595194,-0.003536654960491659,-0.007572761194029851,1.6,20.0,94,100
1.301,-0.2245159006998765,2.456436589729946,-0.0034503950834064963,-0.007388059701492537,1.6,20.0,98,100
1.363,-0.2119181634917872,2.671544315839232,-0.0024910008779631255,-0.003710820895522388,1.6,20.0,100,100
1.398,-0.2024345398536538,2.8955819157848453,-0.0015763827919227395,-0.00021268656716417933,1.6,20.0,100,100
1.432,-0.19101938888760833,3.1268236426642493,-0.001534899034240562,0.002277985074626866,1.6,20.0,100,100
1.463,-0.1778131441255541,3.36354374957491,0.00011852502194907822,0.004634328358208956,1.6,20.0,100,100
1.497,-0.16295623909939444,3.6040164896142945,0.00011523266022827049,0.00528917910447761,1.6,20.0,100,100
1.556,-0.1465891073410326,3.8248601780330325,0.00011194029850746278,0.013511194029850746,1.6,20.0,100,100
1.615,-0.13191544542343708,4.050516659493515,0.0008474539069359087,0.016069029850746267,1.6,20.0,100,100
1.676,-0.11537424403722416,4.279076037961857,0.0008217734855136086,0.01629850746268657,1.6,20.0,100,100
1.757,-0.09713198486940822,4.508628417404172,0.0007960930640913082,0.015789179104477614,1.6,20.0,100,100
1.824,-0.07735514960700367,4.737263901786578,0.0014420544337137838,0.015279850746268657,1.6,20.0,100,100
1.887,-0.05621021993702491,4.9648553081604225,0.0013939859525899912,0.014770522388059704,1.6,20.0,100,100
1.948,-0.033863677546486386,5.148244376995482,0.0007190517998244074,0.014261194029850746,1.6,20.0,100,100
2.012,-0.015010306009194426,5.333620240548429,0.0006933713784021073,0.009520522388059702,1.6,20.0,100,100
2.07,0.00565511110104349,5.518747061087945,0.0006676909569798069,0.008585820895522388,1.6,20.0,100,100
2.129,0.02792758612878785,5.70138900088271,0.0012017120280948198,0.008255597014925372,1.6,20.0,100,100
2.194,0.05265742407267701,5.866955696182679,0.0011536435469710273,0.0036268656716417907,1.6,20.0,100,100
2.254,0.07780689054367121,6.0300644989587475,0.0011055750658472343,0.001416044776119403,1.6,20.0,100,100
2.287,0.10330453839332873,6.191047351809612,0.0010575065847234417,0.0003694029850746268,1.6,20.0,100,100
2.32,0.12907892047320482,6.350236197333308,0.0014795873573309924,-0.00011753731343283593,1.6,20.0,100,100
2.347,0.1550585896348544,6.50796297812787,0.0014091308165057068,-0.0019029850746268653,1.6,20.0,100,100
2.378,0.1811720987298325,6.664559636791335,0.0009133011413520632,-0.003934701492537314,1.6,20.0,100,100
2.413,0.20734800060969436,6.820358115921739,0.0008652326602282703,-0.003727611940298508,1.6,20.0,100,100
2.446,0.23351484812599502,6.975690358117117,0.001197761194029851,-0.0039011194029850756,1.6,20.0,100,100
2.484,0.25960119413028937,7.130888305975505,0.0011273046532045655,-0.004746268656716419,1.6,20.0,100,100
2.541,0.28553559147413266,7.28628390209494,0.0010568481123792801,-0.00478544776119403,1.6,20.0,100,100
2.574,0.31124659300907986,7.442209089073456,0.000986391571553995,-0.0047798507462686575,1.6,20.0,100,100
2.613,0.336662751586686,7.59899580950909,0.0009159350307287095,-0.004729477611940299,1.6,20.0,100,100
2.669,0.36171262005850646,7.756976005999878,0.0011141352063213342,-0.004365671641791044,1.6,20.0,100,100
2.746,0.386324751276096,7.916481621143855,0.0012675592625109747,-0.004001865671641792,1.6,20.0,100,100
2.803,0.41042769809100965,8.077844597539059,0.0013762071992976296,-0.0034141791044776117,1.6,20.0,100,100
2.869,0.43395001335480266,8.24139687778352,0.0012385864793678673,-0.0028712686567164193,1.6,20.0,100,100
2.932,0.45682024991903025,8.407470404475282,2.6338893766461832e-05,-0.0012985074626865672,1.6,20.0,100,100
2.999,0.47896696063524713,8.576397120212375,2.3046532045654095e-05,-0.0008227611940298505,1.6,20.0,100,100
3.061,0.5003186983550084,8.748508967592835,1.975417032484638e-05,-0.0004365671641791047,1.6,20.0,100,100
3.114,0.5208040159298697,8.924137889214702,1.6461808604038643e-05,-2.7985074626865696e-05,1.6,20.0,100,100
3.15,0.5403514662113853,9.103615827676009,-7.638279192273931e-05,-2.238805970149258e-05,1.6,20.0,100,100
3.185,0.5588896020511109,9.28727472557479,-0.00012445127304653209,0.00011753731343283586,1.6,20.0,100,100
3.242,0.576346976300601,9.475446525509083,-0.00021729587357330974,0.0003917910447761191,1.6,20.0,100,100
3.275,0.5926521418114111,9.668463170076924,-0.00013103599648814788,0.0003078358208955232,1.6,20.0,100,100
3.312,0.6077336514350963,9.86665660187635,-0.0,0.0,1.6,20.0,100,100
